Provinsi,Judul,Harga,Lokasi_Detail,Link
DKI Jakarta,IPHONE 11 64GB DAN 128GB IBOX,4699999,DKI Jakarta,https://www.olx.co.id/item/iphone-11-64gb-dan-128gb-ibox-iid-940511850
DKI Jakarta,Iphone 14 Pro 128gb Inter All Operator,9000000,DKI Jakarta,https://www.olx.co.id/item/iphone-14-pro-128gb-inter-all-operator-iid-941966786
DKI Jakarta,Urgent beli samsung S24 ultra series all tipe baru seken tipe lain gas,12000000,DKI Jakarta,https://www.olx.co.id/item/urgent-beli-samsung-s24-ultra-series-all-tipe-baru-seken-tipe-lain-gas-iid-888050886
DKI Jakarta,SAMSUNG GALAXY S25 FE 512 SECOND - DUREN SAWIT JAKARTA TIMUR,9250000,DKI Jakarta,https://www.olx.co.id/item/samsung-galaxy-s25-fe-512-second-duren-sawit-jakarta-timur-iid-942047914
DKI Jakarta,IPHONE 17 PRO MAX 256GB RESMI IBOX BH 100%,24299000,DKI Jakarta,https://www.olx.co.id/item/iphone-17-pro-max-256gb-resmi-ibox-bh-100-iid-942163779
DKI Jakarta,For sale Iphone se 2nd Black 128Gb,2900000,DKI Jakarta,https://www.olx.co.id/item/for-sale-iphone-se-2nd-black-128gb-iid-941483170
DKI Jakarta,"Iphone 15, 128 GB, iBox",10499000,DKI Jakarta,https://www.olx.co.id/item/iphone-15-128-gb-ibox-iid-942163765
DKI Jakarta,Iphone 14 pro 256gb beacukai,11500000,DKI Jakarta,https://www.olx.co.id/item/iphone-14-pro-256gb-beacukai-iid-942163740
DKI Jakarta,Poco c65 Ram 6/128,1100000,DKI Jakarta,https://www.olx.co.id/item/poco-c65-ram-6128-iid-942163719
DKI Jakarta,Samsung Galaxy Z Fold 5 1TB,9500000,DKI Jakarta,https://www.olx.co.id/item/samsung-galaxy-z-fold-5-1tb-iid-941292054
DKI Jakarta,Samsung A05s 6/128,1200000,DKI Jakarta,https://www.olx.co.id/item/samsung-a05s-6128-iid-942163674
